Upper tier local authorities Code,Upper tier local authorities,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E08000005,Rochdale,5,Household is deprived in four dimensions,313
E08000006,Salford,-8,Does not apply,0
E08000006,Salford,1,Household is not deprived in any dimension,53457
E08000006,Salford,2,Household is deprived in one dimension,37170
E08000006,Salford,3,Household is deprived in two dimensions,18229
E08000006,Salford,4,Household is deprived in three dimensions,5963
E08000006,Salford,5,Household is deprived in four dimensions,297
E08000007,Stockport,-8,Does not apply,0
E08000007,Stockport,1,Household is not deprived in any dimension,64926
E08000007,Stockport,2,Household is deprived in one dimension,40720
E08000007,Stockport,3,Household is deprived in two dimensions,16441
E08000007,Stockport,4,Household is deprived in three dimensions,4294
E08000007,Stockport,5,Household is deprived in four dimensions,267
E08000008,Tameside,-8,Does not apply,0
E08000008,Tameside,1,Household is not deprived in any dimension,42979
E08000008,Tameside,2,Household is deprived in one dimension,34038
E08000008,Tameside,3,Household is deprived in two dimensions,17056
E08000008,Tameside,4,Household is deprived in three dimensions,5142
E08000008,Tameside,5,Household is deprived in four dimensions,312
E08000009,Trafford,-8,Does not apply,0
E08000009,Trafford,1,Household is not deprived in any dimension,51885
E08000009,Trafford,2,Household is deprived in one dimension,29699
E08000009,Trafford,3,Household is deprived in two dimensions,11666
E08000009,Trafford,4,Household is deprived in three dimensions,2883
E08000009,Trafford,5,Household is deprived in four dimensions,136
E08000010,Wigan,-8,Does not apply,0
E08000010,Wigan,1,Household is not deprived in any dimension,66618
E08000010,Wigan,2,Household is deprived in one dimension,46951
E08000010,Wigan,3,Household is deprived in two dimensions,22904
E08000010,Wigan,4,Household is deprived in three dimensions,6380
E08000010,Wigan,5,Household is deprived in four dimensions,252
E08000011,Knowsley,-8,Does not apply,0
E08000011,Knowsley,1,Household is not deprived in any dimension,26952
E08000011,Knowsley,2,Household is deprived in one dimension,21374
E08000011,Knowsley,3,Household is deprived in two dimensions,12688
E08000011,Knowsley,4,Household is deprived in three dimensions,4856
E08000011,Knowsley,5,Household is deprived in four dimensions,203
E08000012,Liverpool,-8,Does not apply,0
E08000012,Liverpool,1,Household is not deprived in any dimension,86264
E08000012,Liverpool,2,Household is deprived in one dimension,67761
E08000012,Liverpool,3,Household is deprived in two dimensions,38407
E08000012,Liverpool,4,Household is deprived in three dimensions,14386
E08000012,Liverpool,5,Household is deprived in four dimensions,673
E08000013,St. Helens,-8,Does not apply,0
E08000013,St. Helens,1,Household is not deprived in any dimension,35793
E08000013,St. Helens,2,Household is deprived in one dimension,27070
E08000013,St. Helens,3,Household is deprived in two dimensions,13852
E08000013,St. Helens,4,Household is deprived in three dimensions,4161
E08000013,St. Helens,5,Household is deprived in four dimensions,137
E08000014,Sefton,-8,Does not apply,0
E08000014,Sefton,1,Household is not deprived in any dimension,55668
E08000014,Sefton,2,Household is deprived in one dimension,41850
E08000014,Sefton,3,Household is deprived in two dimensions,19817
E08000014,Sefton,4,Household is deprived in three dimensions,5463
E08000014,Sefton,5,Household is deprived in four dimensions,275
E08000015,Wirral,-8,Does not apply,0
E08000015,Wirral,1,Household is not deprived in any dimension,65530
E08000015,Wirral,2,Household is deprived in one dimension,47854
E08000015,Wirral,3,Household is deprived in two dimensions,22925
E08000015,Wirral,4,Household is deprived in three dimensions,6645
E08000015,Wirral,5,Household is deprived in four dimensions,298
E08000016,Barnsley,-8,Does not apply,0
E08000016,Barnsley,1,Household is not deprived in any dimension,46238
E08000016,Barnsley,2,Household is deprived in one dimension,36682
E08000016,Barnsley,3,Household is deprived in two dimensions,19079
E08000016,Barnsley,4,Household is deprived in three dimensions,5815
E08000016,Barnsley,5,Household is deprived in four dimensions,239
E08000017,Doncaster,-8,Does not apply,0
E08000017,Doncaster,1,Household is not deprived in any dimension,58391
E08000017,Doncaster,2,Household is deprived in one dimension,46328
E08000017,Doncaster,3,Household is deprived in two dimensions,22336
E08000017,Doncaster,4,Household is deprived in three dimensions,6171
E08000017,Doncaster,5,Household is deprived in four dimensions,253
E08000018,Rotherham,-8,Does not apply,0
E08000018,Rotherham,1,Household is not deprived in any dimension,49653
E08000018,Rotherham,2,Household is deprived in one dimension,38666
E08000018,Rotherham,3,Household is deprived in two dimensions,19862
E08000018,Rotherham,4,Household is deprived in three dimensions,5520
E08000018,Rotherham,5,Household is deprived in four dimensions,224
E08000019,Sheffield,-8,Does not apply,0
E08000019,Sheffield,1,Household is not deprived in any dimension,105238
E08000019,Sheffield,2,Household is deprived in one dimension,78863
E08000019,Sheffield,3,Household is deprived in two dimensions,36628
E08000019,Sheffield,4,Household is deprived in three dimensions,10582
E08000019,Sheffield,5,Household is deprived in four dimensions,639
E08000021,Newcastle upon Tyne,-8,Does not apply,0
E08000021,Newcastle upon Tyne,1,Household is not deprived in any dimension,56768
E08000021,Newcastle upon Tyne,2,Household is deprived in one dimension,40169
E08000021,Newcastle upon Tyne,3,Household is deprived in two dimensions,19418
E08000021,Newcastle upon Tyne,4,Household is deprived in three dimensions,6149
E08000021,Newcastle upon Tyne,5,Household is deprived in four dimensions,293
E08000022,North Tyneside,-8,Does not apply,0
E08000022,North Tyneside,1,Household is not deprived in any dimension,47576
E08000022,North Tyneside,2,Household is deprived in one dimension,31265
E08000022,North Tyneside,3,Household is deprived in two dimensions,13730
E08000022,North Tyneside,4,Household is deprived in three dimensions,3546
E08000022,North Tyneside,5,Household is deprived in four dimensions,119
E08000023,South Tyneside,-8,Does not apply,0
